爱,ài
果汁,guǒzhī
过去,guòqù
还是,háishì
害怕,hàipà
河,hé
黑板,hēibǎn
护照,hùzhào
花,huā
花园,huāyuán
画,huà
坏,huài
环境,huánjìng
换,huàn
黄,huáng
会议,huìyì
或者,huòzhě
几乎,jīhū
机会,jīhuì
极,jí
记得,jìde
季节,jìjié
检查,jiǎnchá
简单,jiǎndān
健康,jiànkāng
见面,jiànmiàn
讲,jiǎng
教,jiào
脚,jiǎo
角,jiǎo
接,jiē
街道,jiēdào
结婚,jiéhūn
结束,jiéshù
节目,jiémù
节日,jiérì
解决,jiějué
借,jiè
经常,jīngcháng
经过,jīngguò
经理,jīnglǐ
久,jiǔ
旧,jiù
举行,jǔxíng
句子,jùzi
决定,juédìng
渴,kě
可爱,kěài
刻,kè
客人,kèrén
空调,kōngtiáo
口,kǒu
哭,kū
裤子,kùzi
筷子,kuàizi
蓝,lán
老,lǎo
离开,líkāi
礼物,lǐwù
历史,lìshǐ
脸,liǎn
练习,liànxí
辆,liàng
了解,liǎojiě
邻居,línjū
楼,lóu
绿,lǜ
马,mǎ
马上,mǎshàng
满意,mǎnyì
帽子,màozi
米,mǐ
面包,miànbāo
面条,miàntiáo
明白,míngbái
拿,ná
奶奶,nǎinǎi
南,nán
难,nán
难过,nánguò
年级,niánjí
年轻,niánqīng
鸟,niǎo
努力,nǔlì
爬山,páshān
盘子,pánzi
胖,pàng
啤酒,píjiǔ
葡萄,pútáo
普通话,pǔtōnghuà
其实,qíshí
其他,qítā
骑,qí
铅笔,qiānbǐ
清楚,qīngchǔ
秋,qiū
奇怪,qíguài
裙子,qúnzi
然后,ránhòu
热情 ,rèqíng
认为,rènwéi
认真,rènzhēn
容易,róngyì
如果,rúguǒ
伞,sǎn
上网,shàngwǎng
生气,shēngqì
声音,shēngyīn
使,shǐ
世界,shìjiè
瘦,shòu
舒服,shūfú
叔叔,shūshū
树,shù
数学,shùxué
刷牙,shuāyá
双,shuāng
水平,shuǐpíng
司机,sījī
虽然,suīrán
太阳,tàiyáng
糖,táng
特别,tèbié
疼,téng
提高,tígāo
体育,tǐyù
甜,tián
条,tiáo
同事,tóngshì
同意,tóngyì
头发,tóufà
突然,tūrán
图书馆,túshūguǎn
腿,tuǐ
完成,wánchéng
碗,wǎn
万,wàn
忘记,wàngjì
为,wèi
为了,wèile
位,wèi
文化,wénhuà
西,xī
习惯,xíguàn
洗手间,xǐshǒujiān
洗澡,xǐzǎo
夏,xià
先,xiān
香蕉,xiāngjiāo
相同,xiāngtóng
相信,xiāngxìn
像,xiàng
小心,xiǎoxīn
校长,xiàozhǎng
鞋,xié
新闻,xīnwén
新鲜,xīnxiān
信,xìn
行李箱,xínglǐxiāng
兴趣,xìngqù
